"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";
"6N138";"6N138SDM";"6N138SDM";"COUPL_6N138SDM";"Optocoupler DC-IN 1-CH Darlington With Base DC-OUT 8-Pin PDIP SMD Black T/R  Check availability";"In Stock";" Optoisolator Darlington with Base Output 5000Vrms 1 Channel 8-SMD ";"ON Semiconductor";"6N138SDM";"";"";"";"PDIP GW-8 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/6N138SDM/?ref=eda";
"AUDIO_CONN";"19269";"AUDIO_3.5MMJACK";"4UCONN_19269";"3.5MM Audio Jack";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C3";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C4";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C5";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.01uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.01uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C16";"47uF";"CAP_ELECTROLYTICPANASONIC_C";"PANASONIC_C";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C17";"47uF";"CAP_ELECTROLYTICPANASONIC_C";"PANASONIC_C";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C18";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C19";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C20";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"CONNHEADER";"";"FE08-2";"FE08-2";"FEMALE HEADER";"";"";"";"";"";"unknown";"unknown";"";"1";"";"";
"CP2102";"CP2102N-A02-GQFN24";"CP2102N-A02-GQFN24";"QFN50P400X400X80-25N";"USB Interface IC USB to UART bridge - QFN24";"In Stock";" USB Bridge, USB to UART USB 2.0 UART Interface 24-QFN (4x4) ";"Silicon Labs";"CP2102N-A02-GQFN24";"";"";"";"WFQFN-24 Silicon Labs";"";"None";"https://pricing.snapeda.com/search/part/CP2102N-A02-GQFN24/?ref=eda";
"D2";"EGF1A";"EGF1A";"DIOM449X264X300L114X135N";"EGF1A Series 1 A 100 V 50 ns Surface Mount Fast Recovery Rectifier - DO-214AC Check availability";"In Stock";" Diode Standard 50 V 1A Surface Mount DO-214AC (SMA) ";"ON Semiconductor";"EGF1A";"";"";"";"SMA-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/EGF1A/?ref=eda";
"FB3";"Ferrite";"FERRITE0805";"0805";"Ferrite Bead";"";"";"";"";"";"";"";"";"";"";"";
"FB4";"Ferrite";"FERRITE0805";"0805";"Ferrite Bead";"";"";"";"";"";"";"";"";"";"";"";
"J1";"CSP-USC16-TR";"CSP-USC16-TR";"VALCON_CSP-USC16-TR";"CSP-USC16-TR Valcon USB Type C Surface Mount PCB Socket   Check availability";"In Stock";" CSP-USC16-TR Valcon USB Type C Surface Mount PCB Socket ";"Valcon";"CSP-USC16-TR";"";"";"";"None";"";"None";"https://pricing.snapeda.com/search/part/CSP-USC16-TR/?ref=eda";
"MIDI_IN_CONN";"19269";"AUDIO_3.5MMJACK";"4UCONN_19269";"3.5MM Audio Jack";"";"";"";"";"";"";"";"";"";"";"";
"MIDI_OUT_CONN";"19269";"AUDIO_3.5MMJACK";"4UCONN_19269";"3.5MM Audio Jack";"";"";"";"";"";"";"";"";"";"";"";
"R1";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R2";"22.1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R3";"47.5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"220k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R10";"5.1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R11";"5.1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R12";"4.7K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"4.7K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R14";"4.7K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"220";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R16";"470";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R17";"33";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R22";"220k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"R23";"100";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"REG";"TS1117BCW33_RPG";"TS1117BCW33_RPG";"VREG_TS1117BCW33_RPG";"Check availability";"In Stock";" 1A 3.3V LOW DROPOUT VOLTAGE REGULATOR ";"Taiwan Semiconductor";"TS1117BCW33 RPG";"";"";"";"SOT-223 Taiwan Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/TS1117BCW33 RPG/?ref=eda";
"RESET";"MBT3904DW1T1G";"MBT3904DW1T1G";"SOT236";"Check availability";"In Stock";" Bipolar (BJT) Transistor Array 2 NPN (Dual) 40V 200mA 300MHz 150mW Surface Mount SC-88/SC70-6/SOT-363 ";"ON Semiconductor";"MBT3904DW1T1G";"";"";"";"SC-88-6 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/MBT3904DW1T1G/?ref=eda";
"U1";"ESP32-S3-WROOM-2-N32R8V";"ESP32-S3-WROOM-2-N32R8V";"XCVR_ESP32-S3-WROOM-2-N32R8V";"Check availability";"In Stock";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount ";"Espressif Systems";"ESP32-S3-WROOM-2-N32R8V";"";"";"";"Package ";"";"None";"https://pricing.snapeda.com/search/part/ESP32-S3-WROOM-2-N32R8V/?ref=eda";
"UDA1334";"UDA1334ATS";"AUDIO_I2S_UDA1334""";"SSOP16_4.4MM";"UDA1334 I2C Audio DAC";"";"";"";"";"";"";"";"";"";"";"";
"USBKB";"USB-A-S-X-X-SM2";"USB-A-S-X-X-SM2";"SAMTEC_USB-A-S-X-X-SM2";"USB-A (USB TYPE-A) USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle; Through Hole Check availability";"In Stock";" USB-A (USB TYPE-A) USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle ";"Samtec";"USB-A-S-F-W-SM2-TR";"";"";"";"None";"";"None";"https://pricing.snapeda.com/search/part/USB-A-S-F-W-SM2-TR/?ref=eda";
"X2";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"FH12-40S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"FH12-40S-0.5SH(55)";"1324556";"34M6178";"";"0";"";"";
